Game Name,Link,Active Players (now),Active Players (24h peak),Positive Reviews,Units Sold,Avg Playtime,Median Playtime,First Release Date,Current Price,Genres,Steam Tags,Languages,Description
Asphalt 9: Legends,https://vginsights.com/game/disney-dreamlight-valley,2664,4122,91.90%,842000.0,98.1 hours,38.6 hours,6-Sep-22,$39.99 ,"Action, Adventure, Simulation, Casual, RPG","3D, Adventure, Casual, Character Customization, Choose Your Own Adventure, Cooking, Crafting, Exploration, Family Friendly, Fantasy, Farming Sim, Fishing, Immersive Sim, Life Sim, Magic, Relaxing, Sandbox, Simulation, Singleplayer, Story Rich
Show less","English, French, German, Italian, Japanese, Simplified Chinese, Spanish
Show less",Description: Explore a world filled with the magic of Disney as you discover rich stories and build the perfect neighborhood alongside Disney and Pixar heroes and villains in this new life-sim adventure game. Welcome to Disney Dreamlight Valley.
Carmen Sandiego,https://vginsights.com/game/asphalt-legends-unite,1399,1711,81.40%,2300000.0,6.2 hours,0.6 hours,2-Aug-22,$0.00 ,"Action, Adventure, Free to Play, Sports, Racing","3D, Action, Adventure, Arcade, Automobile Sim, Controller, Driving, Fast-Paced, Free to Play, Modern, Multiplayer, Open World, Physics, PvE, PvP, Racing, Realistic, Singleplayer, Sports, Third-Person
Show less","Brazilian, English, French, German, indonesian, Italian, Japanese, Korean, Latam, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Turkish
Show less","Description: Spark your competitive soul with Asphalt Legends UNITE and feel the collective heartbeat of the road! Join forces with other players to speed through intense arcade races, perform jaw-dropping stunts, and charge towards victory while driving the finest hypercars!"
Disney Dreamlight Valley,https://vginsights.com/game/disney-speedstorm,194,321,67.40%,386000.0,6.9 hours,1 hours,18-Apr-23,$0.00 ,"Action, Adventure, Simulation, Casual, Free to Play, Sports, Racing","3D, Action, Adventure, Arcade, Automobile Sim, Casual, Character Customization, Combat Racing, Driving, Early Access, Free to Play, Multiplayer, PvE, PvP, Racing, Simulation, Split Screen, Sports, Third-Person, Vehicular Combat
Show less","Brazilian, English, French, German, indonesian, Italian, Japanese, Korean, Latam, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Turkish
Show less","Description: Welcome to Disney Speedstorm! Drift into the ultimate hero-based combat racing game, set on high-speed circuits inspired by Disney and Pixar worlds. Master each character’s unique skills and claim victory in this thrilling arcade racing experience from the creators of the Asphalt series!"
Disney Speedstorm,https://vginsights.com/game/modern-combat-versus,0,1,65%,1200000.0,11.7 hours,0.6 hours,19-Dec-17,$0.00 ,"Action, Adventure, Free to Play","Action, Adventure, Casual, Controller, Co-op, First-Person, FPS, Free to Play, Funny, Futuristic, Hero Shooter, Horror, Massively Multiplayer, Multiplayer, Online Co-Op, Open World, Parkour, PvP, Shooter, Singleplayer
Show less","Arabic, Brazilian, English, French, German, Italian, Japanese, Korean, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Turkish
Show less","Description: Drop into a brand-new multiplayer first-person shooter featuring fun, action-packed gameplay. Choose your Agent, master your role, and dominate the battlefield with your team. From skilled attackers to supportive defenders and covert assassins, there's an Agent for every playstyle."
Dungeon Hunter 5:  Action RPG,https://vginsights.com/game/modern-combat-5,0,2,54.60%,147000.0,4.1 hours,0.5 hours,24-Oct-18,$0.00 ,"Action, Free to Play, MMO","Action, Adventure, Battle Royale, Controller, Co-op, First-Person, FPS, Free to Play, Gore, Massively Multiplayer, Multiplayer, Online Co-Op, Sexual Content, Shooter, Singleplayer, Story Rich, Violent, Zombies
Show less","Arabic, Brazilian, English, French, German, Italian, Japanese, Korean, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Turkish
Show less","Description: A fast-paced military FPS with a thrilling solo campaign and 10 multiplayer game modes, including Battle Royale. Pick from 10 customizable soldier classes and 100+ weapons and test your combat skills on one of the 11 multiplayer maps, or in the weekly eSports tournaments."
Dungeon Hunter Champions,https://vginsights.com/game/sniper-fury,71,106,48.80%,662000.0,18.2 hours,0.4 hours,13-Jun-17,$0.00 ,"Action, Free to Play","Action, Adventure, Comedy, Controller, Co-op, First-Person, FPS, Free to Play, Funny, Gore, Great Soundtrack, Indie, Massively Multiplayer, Multiplayer, Online Co-Op, Open World, Shooter, Singleplayer, Sniper, Violent
Show less","Arabic, Brazilian, English, French, German, Italian, Japanese, Korean, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Turkish
Show less","Description: Sniper Fury is an action-sharpshooting game set in a world threatened by violence. Neutralize threats using an ever-growing arsenal of modern firepower. Customize everything: weapons, gear sets, bullets! Join other snipers in Clan Wars, challenge them in PvP mode, &amp; try events for extra surprises."
Heroes of the Dark: RPG Game,https://vginsights.com/game/march-of-empires,1014,1145,64.50%,303000.0,61.5 hours,0.2 hours,11-Dec-17,$0.00 ,"Strategy, Free to Play, RPG, MMO","3D, 4X, Action, Action RTS, Base Building, Character Customization, City Builder, Co-op, Crafting, Free to Play, Massively Multiplayer, Medieval, PvP, Real Time Tactics, RPG, RTS, Strategy, Top-Down, War, Wargame
Show less","Arabic, Brazilian, English, French, German, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Turkish
Show less","Description: Claim your title as Shogun, Highland King, Northern Tsar or Desert Sultan and join this genre-redefining strategy game where you will wage constant war for real territorial conquest! Fortify your castle, fuel a massive army, and enter the ultimate fight for realm domination!"
Iron Blade: Medieval Legends,https://vginsights.com/game/the-oregon-trail,24,40,80.70%,27960.0,8.5 hours,5.3 hours,14-Nov-22,$29.99 ,"Adventure, Casual","1990's, 2D, Action-Adventure, Adventure, Choose Your Own Adventure, Colorful, Crafting, Exploration, Historical, Inventory Management, Nature, Old School, Pixel Graphics, Resource Management, Story Rich, Stylized, Tactical, Third-Person, Trading, Western
Show less","Arabic, Brazilian, Dutch, English, French, German, Italian, Japanese, Korean, Russian, Simplified Chinese, Spanish, Traditional Chinese, Turkish
Show less","Description: The Oregon Trail is back in a beautiful blend of charming pixel art characters, 3D environments, and cutting-edge lighting and visual effects!"
March of Empires: War of Lords,https://vginsights.com/game/war-planet-online-global-conquest,211,245,63.80%,291000.0,26.2 hours,0.1 hours,19-Dec-17,$0.00 ,"Strategy, Free to Play, MMO","4X, Action, Building, Management, Massively Multiplayer, Multiplayer, Online Co-Op, PvE, PvP, Real Time Tactics, RTS, Singleplayer, Strategy, Survival, Tactical, Tanks, Tower Defense, War, Wargame, World War II
Show less","Arabic, Brazilian, English, French, German, Italian, Japanese, Korean, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Turkish
Show less","Description: Build your army, dominate your region and lead your alliance to conquer the globe!"
Modern Combat 5,https://vginsights.com/game/dungeon-hunter-champions,0,0,59.80%,19981.0,6 hours,0.4 hours,19-Dec-18,$0.00 ,"Action, Free to Play, RPG","Action, Free to Play, MOBA, Multiplayer, RPG
Show less","Arabic, Brazilian, English, French, German, Italian, Japanese, Korean, Russian, Simplified Chinese, Thai, Traditional Chinese, Turkish
Show less","Description: Rally your Champions and lead the charge to save the Multiverse from the greatest threat it has ever known. Switch easily between PC and Mobile devices, and keep fighting wherever you go with this cross-platform hack 'n' slash!"
Modern Combat Versus,https://vginsights.com/game/dungeon-hunter-5,0,0,52.10%,8530.0,0 hours,0 hours,21-May-19,$0.00 ,"Action, Adventure, Free to Play, RPG","Action, Adventure, Free to Play, Hack and Slash, Multiplayer, RPG
Show less","Arabic, Brazilian, English, French, German, Italian, Japanese, Korean, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Turkish
Show less",Description: Join forces with millions of Bounty Hunters online for the most intense hack-and-slash adventure yet!
Project Fireball,https://vginsights.com/game/heroes-of-the-dark,39,39,60.80%,9030.0,0 hours,0 hours,6-Apr-22,$0.00 ,"Action, Simulation, Strategy, Free to Play, RPG, MMO","4X, Base Building, Character Customization, City Builder, Combat, Dark Fantasy, Magic, Massively Multiplayer, MMORPG, PvP, Real Time Tactics, RPG, Strategy, Strategy RPG, Supernatural, Tactical, Tactical RPG, Vampire, War, Werewolves
Show less","English, French, German, Italian, Japanese, Korean, Portuguese, Simplified Chinese, Spanish, Traditional Chinese
Show less","Description: Battle Vampires, Werewolves and Humans in a dark Imperial Age strategy game! Collect and upgrade Heroes for 5v5 action, forge alliances, and restore world order."
Sniper Fury: Shooting Game,https://vginsights.com/game/iron-blade,0,0,63.70%,5582.0,0 hours,0 hours,25-Jun-19,$0.00 ,"Action, Adventure","Action, Adventure, Free to Play, Gore, Medieval, Violent
Show less","Arabic, Brazilian, English, French, German, Italian, Japanese, Korean, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Turkish
Show less","Description: Hack and slash your way through a medieval RPG full of demons, darkness and war!"
The Oregon Trail,https://vginsights.com/game/project-fireball,1,3,60.70%,1710.0,0 hours,0 hours,27-Nov-24,$0.00 ,"Action, Casual, Free to Play, Sports","3D, Action, Arcade, Casual, Colorful, Competitive, Controller, Early Access, Football (American), Football (Soccer), Free to Play, Funny, Futuristic, Multiplayer, Physics, PvP, Replay Value, Short, Sports, Team-Based
Show less","Brazilian, English, French, German, Italian, Latam, Polish
Show less","Description: Let’s get ready to rumble! Take to the arena in the one and only Project Fireball, a rowdy fantasy-arcade footbrawl game where there are no rules. Choose your hero and use their super abilities to show everyone who’s boss in epic 2v2 matches."
War Planet Online,https://vginsights.com/game/carmen-sandiego,1,12,78.40%,1110.0,0 hours,0 hours,4-Mar-25,$29.99 ,"Adventure, Strategy","3D, Adventure, Colorful, Detective, Education, Exploration, Hacking, Hidden Object, Investigation, Puzzle, Singleplayer, Stealth, Strategy, Time Management
Show less","Brazilian, English, French, German, Italian, Japanese, Spanish
Show less","Description: The scarlet super thief Carmen Sandiego is back! Adorn Carmen’s signature red hat and play as the vigilante herself to navigate a world of espionage, utilizing high-tech gadgets, and ultimately capturing VILE."
